data,descricao,categoria,tipo,valor,conta,instituicao,status
2024-01-15,Salário Mensal,Salário,entrada,5000.0,Conta Corrente,Banco do Brasil,confirmado
2024-01-20,Supermercado Semanal,Alimentação,saida,450.0,Conta Corrente,Banco do Brasil,confirmado
2024-01-22,Conta de Luz,Casa,saida,120.0,Conta Corrente,Banco do Brasil,confirmado
2024-01-25,Internet,Casa,saida,100.0,Conta Corrente,Banco do Brasil,confirmado
2024-02-01,Aluguel,Casa,saida,1500.0,Conta Corrente,Banco do Brasil,confirmado
2024-02-05,Uber,Transporte,saida,80.0,Conta Corrente,Banco do Brasil,confirmado
2024-02-10,Restaurante,Alimentação,saida,150.0,Conta Corrente,Banco do Brasil,confirmado
2024-02-15,Salário Mensal,Salário,entrada,5000.0,Conta Corrente,Banco do Brasil,confirmado
2024-02-20,Academia,Saúde,saida,120.0,Conta Corrente,Banco do Brasil,confirmado
2024-02-25,Netflix,Lazer,saida,39.9,Conta Corrente,Banco do Brasil,confirmado
